hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,adr_por_pessoa,month_sin,month_cos,conjunto,prob_mlp,pred_mlp,acerto_mlp
Resort Hotel,0,37,2015,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Contract,97.5,0,0,4,2,48.75,-0.4999999999999997,-0.8660254037844388,teste,0.4370788633823395,1.0,0.0
Resort Hotel,0,12,2015,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,88.2,0,0,1,2,44.1,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,0,2015,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient,107.42,0,0,1,2,53.71,-0.4999999999999997,-0.8660254037844388,teste,0.019621368497610092,0.0,1.0
Resort Hotel,0,7,2015,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,0,No Deposit,0,Transient,153.0,0,1,4,2,76.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,37,2015,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,97.29,0,1,5,1,97.29,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,72,2015,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,0,Transient,84.67,0,1,6,2,42.335,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,72,2015,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,1,No Deposit,0,Transient,99.67,0,1,6,2,49.835,-0.4999999999999997,-0.8660254037844388,teste,0.29067263007164,0.0,1.0
Resort Hotel,0,127,2015,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,94.95,0,1,7,2,47.475,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,78,2015,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,63.6,1,0,7,2,31.8,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,48,2015,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,79.5,0,0,7,2,39.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,60,2015,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,107.0,0,2,7,2,53.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,77,2015,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,94.0,0,0,7,2,47.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,99,2015,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,87.3,1,1,7,2,43.65,-0.4999999999999997,-0.8660254037844388,teste,1.8188692365583847e-06,0.0,1.0
Resort Hotel,0,118,2015,27,1,4,10,1,0,0,BB,UNK,Direct,Direct,0,0,0,A,2,No Deposit,0,Transient,62.0,0,2,14,1,62.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,95,2015,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,63.86,0,0,15,2,31.93,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,96,2015,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,108.3,0,2,10,2,54.15,-0.4999999999999997,-0.8660254037844388,teste,0.4614746868610382,1.0,1.0
Resort Hotel,0,69,2015,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,65.5,0,0,6,2,32.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,45,2015,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,108.8,0,1,4,3,36.266666666666666,-0.4999999999999997,-0.8660254037844388,teste,0.5565639734268188,1.0,1.0
Resort Hotel,1,40,2015,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,108.8,0,1,4,3,36.266666666666666,-0.4999999999999997,-0.8660254037844388,teste,0.5455691814422607,1.0,1.0
Resort Hotel,0,15,2015,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,98.0,0,0,4,2,49.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,36,2015,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,108.8,0,1,4,3,36.266666666666666,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,43,2015,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,108.8,0,0,4,3,36.266666666666666,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,70,2015,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,137.0,0,1,5,2,68.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,45,2015,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,117.81,0,0,5,2,58.905,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,45,2015,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,79.5,0,0,5,2,39.75,-0.4999999999999997,-0.8660254037844388,teste,2.809486431942787e-05,0.0,1.0
Resort Hotel,0,16,2015,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,No Deposit,0,Transient,123.0,0,0,5,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,107,2015,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.7,0,2,7,2,55.35,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,47,2015,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,153.0,0,0,7,4,38.25,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,96,2015,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,58.95,0,1,7,2,29.475,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,113,2015,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Transient-Party,82.88,0,2,7,2,41.44,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,90,2015,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Contract,82.35,0,0,7,2,41.175,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,50,2015,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,1,No Deposit,0,Transient,119.35,0,1,7,2,59.675,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,113,2015,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient-Party,67.58,0,2,7,2,33.79,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,93,2015,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,56.01,0,0,11,2,28.005,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,76,2015,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,110.7,0,0,14,2,55.35,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,3,2015,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,88.2,1,0,1,2,44.1,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,1,2015,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,0,No Deposit,0,Transient,147.0,1,0,1,2,73.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,1,2015,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,0,No Deposit,0,Transient,107.0,1,2,1,4,26.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,0,2015,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,0,No Deposit,0,Transient,147.0,0,0,1,2,73.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,0,2015,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,117.9,0,2,1,2,58.95,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,0,2015,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,0,No Deposit,0,Transient,123.0,0,0,1,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,14,2015,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,98.0,0,1,2,2,49.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,10,2015,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,117.81,0,0,2,2,58.905,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,5,2015,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,135.0,1,2,2,2,67.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,17,2015,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,No Deposit,0,Transient,133.0,0,1,3,2,66.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,93,2015,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,58.95,0,0,3,2,29.475,-0.4999999999999997,-0.8660254037844388,teste,7.002985512372106e-05,0.0,1.0
Resort Hotel,1,3,2015,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,136.33,0,2,3,2,68.165,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,10,2015,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,0,No Deposit,0,Transient,153.0,1,0,2,4,38.25,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,3,2015,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.5,0,0,2,2,55.25,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,51,2015,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,0,2,2,48.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,71,2015,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.3,0,2,2,3,36.766666666666666,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,63,2015,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,82.0,0,2,2,2,41.0,-0.4999999999999997,-0.8660254037844388,teste,0.635256826877594,1.0,1.0
Resort Hotel,1,62,2015,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,1,2,2,48.5,-0.4999999999999997,-0.8660254037844388,teste,0.5773197412490845,1.0,1.0
Resort Hotel,1,101,2015,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,73.8,0,1,2,2,36.9,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,2,2015,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,91.5,0,0,2,2,45.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,15,2015,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,114.5,0,0,2,2,57.25,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,51,2015,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.3,0,0,2,3,36.766666666666666,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,3,2015,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,90.9,1,0,3,2,45.45,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,48,2015,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,123.0,0,0,3,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,2,2015,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,122.0,0,0,4,1,122.0,-0.4999999999999997,-0.8660254037844388,teste,0.3261370360851288,0.0,1.0
Resort Hotel,0,72,2015,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.7,1,0,4,2,55.35,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,81,2015,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,85.86,0,0,8,3,28.62,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,99,2015,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,58.95,0,0,9,2,29.475,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,368,2015,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,55.68,0,0,10,2,27.84,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,364,2015,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,55.68,0,0,10,2,27.84,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,81,2015,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,2,No Deposit,0,Transient,124.0,0,1,10,2,62.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,99,2015,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Contract,111.15,0,0,10,2,55.575,-0.4999999999999997,-0.8660254037844388,teste,1.5739308310003253e-06,0.0,1.0
Resort Hotel,0,324,2015,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Contract,134.73,0,0,14,2,67.365,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,69,2015,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,1,No Deposit,0,Transient,92.45,0,1,14,2,46.225,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,79,2015,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,108.73,0,2,21,3,36.24333333333333,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,12,2015,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,73.8,0,0,1,2,36.9,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,9,2015,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,98.0,1,2,1,2,49.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,1,2015,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,131.0,0,1,1,2,65.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,21,2015,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,123.0,0,0,1,2,61.5,-0.4999999999999997,-0.8660254037844388,teste,0.44499146938323975,1.0,0.0
Resort Hotel,0,9,2015,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,0,No Deposit,0,Transient,94.71,0,0,1,2,47.355,-0.4999999999999997,-0.8660254037844388,teste,0.021144608035683632,0.0,1.0
Resort Hotel,0,109,2015,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,123.0,0,2,1,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,109,2015,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,123.0,0,1,2,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,72,2015,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,73.8,0,1,2,2,36.9,-0.4999999999999997,-0.8660254037844388,teste,0.5779696702957153,1.0,1.0
Resort Hotel,1,63,2015,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,117.0,0,1,7,2,58.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,63,2015,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,0,Transient,196.54,0,1,7,3,65.51333333333334,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,101,2015,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,99.3,1,2,7,3,33.1,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,102,2015,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,90.95,0,0,7,2,45.475,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,4,2015,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,92.67,0,1,3,2,46.335,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,98,2015,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,71.55,1,0,3,2,35.775,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,92,2015,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,0,No Deposit,0,Transient,96.49,0,2,6,3,32.163333333333334,-0.4999999999999997,-0.8660254037844388,teste,1.528752727608662e-05,0.0,1.0
Resort Hotel,0,95,2015,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,85.8,1,2,6,2,42.9,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,102,2015,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,96.3,0,1,7,2,48.15,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,26,2015,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,0,No Deposit,0,Transient,163.0,0,0,7,4,40.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,73,2015,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,0,No Deposit,0,Transient,172.0,0,1,7,3,57.333333333333336,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,102,2015,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,110.7,0,1,7,2,55.35,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,115,2015,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,58.95,0,1,7,2,29.475,-0.4999999999999997,-0.8660254037844388,teste,0.2690337300300598,0.0,1.0
Resort Hotel,0,102,2015,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,73.8,0,2,7,3,24.599999999999998,-0.4999999999999997,-0.8660254037844388,teste,0.6179083585739136,1.0,0.0
Resort Hotel,0,86,2015,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,2,7,2,48.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,78,2015,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,139.0,0,2,7,3,46.333333333333336,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,52,2015,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,67.24,0,0,7,2,33.62,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,29,2015,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,116.5,0,1,8,3,38.833333333333336,-0.4999999999999997,-0.8660254037844388,teste,0.5529444217681885,1.0,0.0
Resort Hotel,1,101,2015,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,96.3,0,1,8,2,48.15,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,109,2015,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,123.0,0,1,8,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,92,2015,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,71.55,0,1,10,2,35.775,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,92,2015,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,71.55,0,1,10,2,35.775,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,79,2015,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,1,No Deposit,0,Transient,149.0,0,1,10,3,49.666666666666664,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,2,2015,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,1,No Deposit,0,Transient,163.0,1,0,1,4,40.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,30,2015,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,79.5,0,0,1,2,39.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,51,2015,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,105.0,0,0,1,1,105.0,-0.4999999999999997,-0.8660254037844388,treino,,,
